ImageID,Label
1,2
2,0
3,8
4,1
5,8
6,4
7,0
8,3
9,0
10,3
11,3
12,1
13,9
14,0
15,4
16,3
17,3
18,7
19,9
20,0
21,9
22,1
23,2
24,0
25,7
26,4
27,2
28,7
29,8
30,1
31,1
32,5
33,4
34,0
35,6
36,2
37,7
38,0
39,4
40,3
41,1
42,7
43,1
44,1
45,8
46,7
47,8
48,3
49,6
50,1
51,6
52,3
53,8
54,3
55,8
56,6
57,6
58,2
59,4
60,5
61,4
62,1
63,1
64,0
65,2
66,0
67,1
68,8
69,0
70,8
71,6
72,5
73,9
74,6
75,2
76,8
77,3
78,9
79,6
80,3
81,5
82,8
83,1
84,0
85,9
86,0
87,4
88,3
89,6
90,7
91,3
92,0
93,6
94,6
95,8
96,1
97,3
98,8
99,7
100,9
101,3
102,5
103,0
104,0
105,1
106,4
107,0
108,3
109,0
110,9
111,0
112,0
113,9
114,1
115,1
116,2
117,2
118,1
119,4
120,8
121,3
122,7
123,2
124,8
125,6
126,5
127,8
128,1
129,6
130,4
131,5
132,2
133,6
134,0
135,0
136,0
137,5
138,1
139,3
140,0
141,4
142,3
143,1
144,5
145,8
146,8
147,7
148,1
149,3
150,0
151,1
152,3
153,5
154,6
155,5
156,3
157,7
158,3
159,1
160,8
161,3
162,5
163,6
164,5
165,1
166,3
167,1
168,6
169,4
170,0
171,3
172,7
173,9
174,6
175,1
176,5
177,1
178,1
179,7
180,2
181,1
182,1
183,5
184,2
185,4
186,9
187,2
188,1
189,6
190,0
191,6
192,6
193,4
194,2
195,6
196,0
197,9
198,1
199,0
200,9
201,1
202,9
203,0
204,8
205,9
206,0
207,8
208,4
209,6
210,2
211,2
212,9
213,3
214,6
215,9
216,2
217,8
218,6
219,5
220,1
221,2
222,3
223,1
224,4
225,1
226,8
227,4
228,6
229,8
230,0
231,7
232,4
233,9
234,6
235,1
236,6
237,2
238,0
239,8
240,6
241,5
242,6
243,3
244,3
245,4
246,5
247,8
248,3
249,5
250,5
251,9
252,7
253,8
254,5
255,8
256,4
257,5
258,6
259,4
260,5
261,2
262,3
263,8
264,5
265,1
266,0
267,6
268,4
269,6
270,5
271,6
272,0
273,6
274,3
275,6
276,4
277,6
278,5
279,8
280,6
281,0
282,6
283,0
284,7
285,3
286,5
287,1
288,8
289,9
290,9
291,5
292,1
293,1
294,9
295,9
296,6
297,5
298,5
299,3
300,3
301,6
302,9
303,8
304,2
305,6
306,9
307,7
308,6
309,9
310,3
311,8
312,8
313,9
314,5
315,6
316,3
317,4
318,1
319,1
320,8
321,9
322,0
323,8
324,4
325,8
326,4
327,5
328,1
329,3
330,1
331,6
332,5
333,5
334,3
335,5
336,8
337,0
338,3
339,6
340,8
341,6
342,1
343,8
344,8
345,6
346,5
347,3
348,5
349,2
350,2
351,6
352,1
353,7
354,2
355,5
356,6
357,9
358,9
359,2
360,6
361,3
362,6
363,5
364,3
365,6
366,2
367,3
368,8
369,6
370,3
371,6
372,3
373,7
374,9
375,7
376,6
377,9
378,5
379,5
380,1
381,6
382,5
383,5
384,9
385,2
386,6
387,1
388,8
389,3
390,7
391,1
392,1
393,4
394,9
395,6
396,1
397,6
398,1
399,1
400,3
401,5
402,1
403,6
404,1
405,4
406,1
407,7
408,5
409,5
410,3
411,5
412,0
413,4
414,6
415,4
416,9
417,8
418,1
419,3
420,5
421,9
422,5
423,6
424,0
425,3
426,1
427,9
428,7
429,9
430,1
431,4
432,8
433,5
434,6
435,0
436,4
437,6
438,9
439,5
440,0
441,2
442,4
443,7
444,4
445,9
446,4
447,1
448,5
449,5
450,9
451,9
452,1
453,1
454,9
455,5
456,9
457,1
458,3
459,8
460,5
461,6
462,1
463,5
464,2
465,0
466,1
467,7
468,1
469,1
470,1
471,1
472,4
473,6
474,5
475,5
476,7
477,8
478,5
479,0
480,0
481,4
482,8
483,8
484,2
485,1
486,9
487,9
488,6
489,4
490,1
491,7
492,4
493,0
494,4
495,1
496,7
497,5
498,4
499,6
500,0
501,6
502,5
503,1
504,7
505,8
506,8
507,5
508,3
509,4
510,0
511,7
512,8
513,8
514,7
515,5
516,1
517,8
518,1
519,7
520,3
521,2
522,9
523,0
524,1
525,1
526,1
527,3
528,1
529,1
530,1
531,0
532,0
533,3
534,8
535,4
536,5
537,6
538,3
539,1
540,1
541,8
542,2
543,8
544,2
545,0
546,5
547,0
548,9
549,0
550,8
551,6
552,3
553,7
554,3
555,0
556,0
557,7
558,8
559,6
560,2
561,6
562,5
563,8
564,0
565,2
566,5
567,6
568,4
569,6
570,4
571,1
572,5
573,5
574,6
575,0
576,4
577,8
578,6
579,4
580,2
581,3
582,1
583,2
584,6
585,1
586,0
587,1
588,5
589,8
590,6
591,8
592,8
593,6
594,5
595,3
596,6
597,1
598,6
599,0
600,3
601,0
602,8
603,1
604,7
605,8
606,2
607,8
608,5
609,6
610,4
611,1
612,6
613,5
614,3
615,2
616,8
617,7
618,8
619,0
620,9
621,8
622,5
623,4
624,4
625,0
626,8
627,8
628,3
629,6
630,8
631,6
632,1
633,2
634,6
635,5
636,4
637,1
638,7
639,8
640,3
641,0
642,1
643,9
644,8
645,7
646,2
647,6
648,4
649,1
650,8
651,4
652,8
653,0
654,0
655,8
656,2
657,4
658,5
659,6
660,7
661,2
662,3
663,4
664,0
665,4
666,8
667,6
668,3
669,5
670,6
671,5
672,9
673,4
674,3
675,5
676,1
677,7
678,6
679,6
680,0
681,6
682,9
683,6
684,6
685,8
686,5
687,1
688,6
689,9
690,5
691,1
692,6
693,0
694,0
695,8
696,1
697,5
698,9
699,8
700,5
701,1
702,7
703,4
704,0
705,6
706,0
707,6
708,9
709,6
710,0
711,5
712,8
713,0
714,5
715,8
716,6
717,2
718,3
719,1
720,6
721,9
722,3
723,6
724,0
725,1
726,0
727,6
728,9
729,7
730,0
731,7
732,6
733,3
734,6
735,1
736,1
737,1
738,3
739,8
740,5
741,9
742,8
743,6
744,9
745,5
746,9
747,2
748,1
749,9
750,1
751,9
752,9
753,4
754,1
755,1
756,1
757,7
758,1
759,1
760,9
761,2
762,3
763,2
764,0
765,9
766,0
767,2
768,8
769,6
770,8
771,2
772,5
773,0
774,5
775,5
776,3
777,1
778,6
779,3
780,1
781,1
782,1
783,2
784,6
785,4
786,5
787,3
788,8
789,8
790,8
791,5
792,2
793,8
794,0
795,1
796,1
797,5
798,6
799,9
800,1
801,1
802,8
803,3
804,5
805,8
806,9
807,4
808,6
809,9
810,8
811,5
812,4
813,2
814,5
815,4
816,4
817,0
818,9
819,7
820,1
821,3
822,0
823,5
824,0
825,1
826,9
827,0
828,9
829,8
830,6
831,0
832,6
833,5
834,9
835,5
836,9
837,6
838,4
839,5
840,5
841,6
842,9
843,0
844,1
845,6
846,6
847,7
848,6
849,5
850,5
851,8
852,9
853,1
854,7
855,2
856,6
857,1
858,5
859,7
860,5
861,0
862,4
863,1
864,8
865,6
866,3
867,5
868,6
869,4
870,3
871,4
872,8
873,4
874,2
875,3
876,3
877,4
878,1
879,0
880,1
881,4
882,9
883,8
884,1
885,1
886,1
887,1
888,5
889,9
890,9
891,4
892,1
893,6
894,0
895,4
896,2
897,9
898,9
899,1
900,1
901,5
902,3
903,9
904,8
905,9
906,1
907,1
908,5
909,6
910,1
911,6
912,3
913,4
914,1
915,6
916,3
917,8
918,6
919,6
920,5
921,1
922,5
923,5
924,1
925,4
926,1
927,9
928,6
929,6
930,3
931,3
932,6
933,8
934,9
935,0
936,3
937,1
938,7
939,9
940,5
941,6
942,2
943,3
944,0
945,0
946,9
947,9
948,2
949,9
950,3
951,6
952,7
953,0
954,2
955,3
956,2
957,8
958,2
959,0
960,2
961,1
962,8
963,4
964,0
965,2
966,3
967,1
968,8
969,8
970,3
971,3
972,0
973,9
974,6
975,1
976,0
977,8
978,0
979,7
980,6
981,3
982,2
983,1
984,9
985,1
986,4
987,0
988,3
989,1
990,2
991,8
992,9
993,3
994,6
995,6
996,3
997,6
998,2
999,0
1000,9
1001,0
1002,9
1003,0
1004,7
1005,1
1006,3
1007,8
1008,2
1009,5
1010,8
1011,2
1012,6
1013,3
1014,1
1015,3
1016,1
1017,2
1018,5
1019,4
1020,2
1021,1
1022,8
1023,6
1024,6
1025,6
1026,6
1027,8
1028,0
1029,0
1030,5
1031,8
1032,1
1033,8
1034,7
1035,1
1036,8
1037,3
1038,0
1039,4
1040,0
1041,8
1042,6
1043,8
1044,9
1045,6
1046,1
1047,1
1048,1
1049,2
1050,6
1051,0
1052,6
1053,6
1054,5
1055,8
1056,4
1057,0
1058,3
1059,6
1060,3
1061,0
1062,0
1063,6
1064,0
1065,9
1066,1
1067,8
1068,0
1069,5
1070,9
1071,0
1072,5
1073,9
1074,6
1075,8
1076,2
1077,6
1078,8
1079,2
1080,9
1081,3
1082,2
1083,2
1084,6
1085,1
1086,7
1087,6
1088,6
1089,3
1090,1
1091,3
1092,2
1093,2
1094,1
1095,1
1096,6
1097,5
1098,5
1099,9
1100,3
1101,9
1102,0
1103,9
1104,6
1105,8
1106,2
1107,0
1108,6
1109,6
1110,6
1111,1
1112,6
1113,4
1114,8
1115,0
1116,5
1117,2
1118,6
1119,6
1120,1
1121,6
1122,1
1123,7
1124,0
1125,6
1126,3
1127,8
1128,6
1129,1
1130,2
1131,5
1132,5
1133,8
1134,0
1135,5
1136,6
1137,2
1138,1
1139,1
1140,1
1141,3
1142,0
1143,2
1144,6
1145,2
1146,6
1147,9
1148,3
1149,5
1150,5
1151,8
1152,7
1153,3
1154,8
1155,4
1156,9
1157,9
1158,1
1159,9
1160,3
1161,8
1162,1
1163,4
1164,0
1165,6
1166,9
1167,4
1168,6
1169,9
1170,2
1171,5
1172,6
1173,9
1174,1
1175,9
1176,2
1177,2
1178,1
1179,6
1180,5
1181,3
1182,8
1183,9
1184,9
1185,0
1186,1
1187,0
1188,3
1189,0
1190,9
1191,7
1192,5
1193,3
1194,0
1195,8
1196,6
1197,3
1198,2
1199,5
1200,4
1201,4
1202,8
1203,3
1204,3
1205,8
1206,1
1207,6
1208,6
1209,4
1210,0
1211,6
1212,2
1213,8
1214,9
1215,5
1216,9
1217,5
1218,1
